Patrol ID,Type,Patrol Start Date,Patrol End Date,Station,Team,Objective,Mandate,Armed,Patrol Leg ID,Leader,Patrol Transport Type,Waypoint ID,Waypoint Date,Waypoint Time,X,Y,Last Modified,Last Modified By,Observation Category 0,Observation Category 1,Jenis satwa,Keterangan,Tipe temuan,Usia temuan
RP_Mei_2023_000004,Ground,31-May-23,31-May-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Rudiansyah Rudiansyah,Jalan Kaki,3,31-May-23,9:09:27 AM,110.05654,-1.153875,11/6/2023 14:46,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
RP_Mei_2023_000004,Ground,31-May-23,31-May-23,Rantau Panjang,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Rudiansyah Rudiansyah,Jalan Kaki,4,31-May-23,9:13:16 AM,110.0567617,-1.154245,11/6/2023 14:46,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
PJ_Oktober_2023_FFI_000003,Ground,9-Oct-23,9-Oct-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,6,9-Oct-23,9:31:21 AM,110.0533417,-1.124256667,10/27/2023 7:16,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Lama (2 - 4 minggu)
PJ_Oktober_2023_FFI_000003,Ground,9-Oct-23,9-Oct-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,16,9-Oct-23,10:49:45 AM,110.054635,-1.126221667,10/27/2023 7:17,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Lama (2 - 4 minggu)
PJ_Oktober_2023_FFI_000003,Ground,9-Oct-23,9-Oct-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,9,9-Oct-23,9:49:18 AM,110.053915,-1.125691667,10/27/2023 7:16,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
PJ_Maret_2023_000004,Ground,22-Mar-23,22-Mar-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,8,22-Mar-23,8:36:34 AM,110.0397167,-1.132371667,3/30/2023 14:11,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Baru (dalam 1 minggu)
PJ_Maret_2023_000004,Ground,22-Mar-23,22-Mar-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,10,22-Mar-23,8:42:32 AM,110.039725,-1.133163333,3/30/2023 14:11,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
PJ_Februari_2023_000003,Ground,15-Feb-23,15-Feb-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,9,15-Feb-23,8:58:32 AM,110.040455,-1.130545,3/2/2023 9:11,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Cukup lama (>1 bulan)
PJ_Februari_2023_000003,Ground,15-Feb-23,15-Feb-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,10,15-Feb-23,9:04:12 AM,110.0416067,-1.13033,3/2/2023 9:11,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Cukup lama (>1 bulan)
PJ_Februari_2023_000003,Ground,15-Feb-23,15-Feb-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,11,15-Feb-23,9:13:12 AM,110.0432867,-1.12914,3/2/2023 9:11,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Cukup lama (>1 bulan)
PJ_Mei_2023_FFI_000007,Ground,22-May-23,22-May-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,11,22-May-23,9:13:04 AM,110.05153,-1.124211667,5/28/2023 10:10,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Lama (2 - 4 minggu)
PJ_Mei_2023_FFI_000007,Ground,22-May-23,22-May-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,26,22-May-23,9:59:11 AM,110.0554717,-1.125846667,5/28/2023 10:10,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Cukup lama (>1 bulan)
PJ_Mei_2023_FFI_000007,Ground,22-May-23,22-May-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,14,22-May-23,9:18:18 AM,110.0521117,-1.124576667,5/28/2023 10:10,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Lama (2 - 4 minggu)
PJ_Mei_2023_FFI_000006,Ground,21-May-23,21-May-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,22,21-May-23,10:04:16 AM,110.0539533,-1.130633333,5/28/2023 10:10,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Lama (2 - 4 minggu)
PJ_Mei_2023_FFI_000006,Ground,21-May-23,21-May-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,20,21-May-23,9:56:26 AM,110.0554367,-1.129785,5/28/2023 10:10,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Baru (dalam 1 minggu)
PJ_Maret_2023_FFI_000003,Ground,26-Mar-23,26-Mar-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,8,26-Mar-23,9:27:50 AM,110.052895,-1.12362,3/29/2023 20:19,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Lama (2 - 4 minggu)
PJ_Maret_2023_FFI_000003,Ground,26-Mar-23,26-Mar-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,7,26-Mar-23,9:06:10 AM,110.05208,-1.123258333,3/29/2023 20:19,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Cukup lama (>1 bulan)
PJ_Mei_2023_FFI_000008,Ground,23-May-23,23-May-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,13,23-May-23,8:38:30 AM,110.0484383,-1.129545,5/28/2023 10:10,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Lama (2 - 4 minggu)
PJ_Oktober_2023_FFI_000001,Ground,7-Oct-23,7-Oct-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,11,7-Oct-23,8:46:35 AM,110.0510617,-1.124693333,10/27/2023 6:59,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
PJ_Oktober_2023_FFI_000001,Ground,7-Oct-23,7-Oct-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,6,7-Oct-23,7:27:57 AM,110.0339117,-1.12565,10/27/2023 6:59,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Cukup baru (1 - 2 minggu)
PJ_Oktober_2023_FFI_000001,Ground,7-Oct-23,7-Oct-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,7,7-Oct-23,8:19:41 AM,110.0477533,-1.125961667,10/27/2023 6:59,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Baru (dalam 1 minggu)
PJ_Oktober_2023_FFI_000008,Ground,24-Oct-23,24-Oct-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,5,24-Oct-23,9:12:11 AM,110.0515867,-1.124296667,10/27/2023 7:00,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Lama (2 - 4 minggu)
PJ_Juni_2023_000003,Ground,15-Jun-23,15-Jun-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,14,15-Jun-23,8:53:46 AM,110.0430717,-1.12958,6/28/2023 14:25,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
PJ_April_2023_000003,Ground,14-Apr-23,14-Apr-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,16,14-Apr-23,8:47:01 AM,110.039565,-1.130601667,5/9/2023 11:29,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Baru (dalam 1 minggu)
PJ_April_2023_000003,Ground,14-Apr-23,14-Apr-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,12,14-Apr-23,8:20:56 AM,110.04321,-1.129445,5/9/2023 11:29,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
PJ_Februari_2023_000002,Ground,14-Feb-23,14-Feb-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,8,14-Feb-23,8:56:32 AM,110.0498317,-1.127158333,3/2/2023 9:11,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Sangat lama (>3bulan)
PJ_Oktober_2023_FFI_000006,Ground,26-Oct-23,26-Oct-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,5,26-Oct-23,9:48:58 AM,110.0535383,-1.125795,10/30/2023 20:34,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Kotoran,Cukup baru (1 - 2 minggu)
PJ_Oktober_2023_FFI_000006,Ground,26-Oct-23,26-Oct-23,Penjalaan,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Suparjan Suparjan,Jalan Kaki,6,26-Oct-23,9:51:16 AM,110.053945,-1.125438333,10/30/2023 20:34,smart smart,Satwa Liar,Tanda Satwa,Orangutan Kalimantan - Pongo Pygmaeus,,Sarang,Lama (2 - 4 minggu)
