Patrol ID,Type,Patrol Start Date,Patrol End Date,Station,Team,Objective,Mandate,Armed,Patrol Leg ID,Leader,Patrol Transport Type,Waypoint ID,Waypoint Date,Waypoint Time,X,Y,Last Modified,Last Modified By,Observation Category 0,Observation Category 1,Jumlah,Keaktifan,Keterangan,Modus penggunaan kawasan,Pelanggaran,Perlu tindak lanjut,Satuan,Tindakan,Tipe temuan,Usia temuan
PB_April_000007,Ground,22-Apr-22,22-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,8,22-Apr-22,8:31:41 AM,109.8458317,-1.03247,1/15/2023 18:12,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Bukan,,batang,Diobservasi,Kebun campuran,Diatas 1 tahun
PB_April_000007,Ground,22-Apr-22,22-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,10,22-Apr-22,8:36:03 AM,109.846,-1.032395,12/12/2022 16:00,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Bukan,,hektar,Diobservasi,Kebun karet,Diatas 1 tahun
PB_April_000007,Ground,22-Apr-22,22-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,15,22-Apr-22,8:54:10 AM,109.84659,-1.032625,12/12/2022 16:00,smart smart,Aktivitas Manusia,Penggunaan Kawasan,8,Aktif,,,Bukan,,batang,Diobservasi,Kebun pisang,Diatas 1 tahun
PB_April_000007,Ground,22-Apr-22,22-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,9,22-Apr-22,8:34:16 AM,109.845815,-1.03239,12/12/2022 16:00,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Ya,Ya,unit,Diobservasi,Bangunan/pemukiman non-permanen,Diatas 1 tahun
PB_April_000007,Ground,22-Apr-22,22-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,13,22-Apr-22,8:44:44 AM,109.8459833,-1.032675,12/12/2022 16:00,smart smart,Aktivitas Manusia,Penggunaan Kawasan,6,Aktif,,,Bukan,,batang,Diobservasi,Kebun tebu,Sangat lama (>3bulan)
PB_April_000007,Ground,22-Apr-22,22-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,16,22-Apr-22,8:56:37 AM,109.8467117,-1.03239,12/12/2022 16:00,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Bukan,,batang,Diobservasi,Kebun pinang,Diatas 1 tahun
PB_April_000007,Ground,22-Apr-22,22-Apr-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,18,22-Apr-22,9:02:37 AM,109.8468283,-1.032888333,12/12/2022 16:00,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Tidak Aktif,,,Bukan,,hektar,Diobservasi,Lahan terbuka,Lama (2 - 4 minggu)
PB_Nov_000007,Ground,2-Nov-22,2-Nov-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,3,2-Nov-22,8:34:39 AM,109.8695667,-1.018568333,12/12/2022 15:56,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Tidak Aktif,,,Ya,Ya,hektar,Diobservasi,Lahan terbuka,Baru (dalam 1 minggu)
PB_Nov_000007,Ground,2-Nov-22,2-Nov-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,11,2-Nov-22,9:08:17 AM,109.8732717,-1.02027,12/12/2022 15:56,smart smart,Aktivitas Manusia,Penggunaan Kawasan,2,Aktif,,,Ya,Ya,hektar,Diobservasi,Kebun sawit,Diatas 1 tahun
PB_Nov_000007,Ground,2-Nov-22,2-Nov-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,12,2-Nov-22,9:10:13 AM,109.8736433,-1.020405,12/12/2022 15:56,smart smart,Aktivitas Manusia,Penggunaan Kawasan,1,Aktif,,,Ya,Ya,hektar,Diobservasi,Kebun sawit,Diatas 1 tahun
PB_Nov_000007,Ground,2-Nov-22,2-Nov-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,9,2-Nov-22,8:58:19 AM,109.870855,-1.018988333,12/12/2022 15:56,smart smart,Aktivitas Manusia,Penggunaan Kawasan,20,Aktif,,,Ya,Ya,batang,Diobservasi,Kebun pinang,Diatas 1 tahun
PB_Juni_0005,Ground,21-Jun-22,21-Jun-22,Padu Banjar,LPHD,Monitoring kawasan,Patroli Rutin,No,1,Samsidar Samsidar,Jalan Kaki,17,21-Jun-22,10:49:45 AM,109.9137833,-1.012616667,12/12/2022 15:58,smart smart,Aktivitas Manusia,Penggunaan Kawasan,2,Aktif,,,Ya,Ya,batang,Diobservasi,Kebun karet,Diatas 1 tahun
